"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31720","Verify that the email displayed in the Edit Account page matches the login email for User 2 (first tab)","","Tue Oct 07 10:29:34 IST 2025","broken","Tue Oct 07 10:30:06 IST 2025","Verify persisted login session for User 2 using stored storageState","","",""
"","6742","Login as User 1 and save browser session for future tests","","Tue Oct 07 10:29:34 IST 2025","passed","Tue Oct 07 10:29:41 IST 2025","","","",""
"","5972","Verify that the email displayed in the Edit Account page matches the login email for User 3 (first tab)","","Tue Oct 07 10:29:44 IST 2025","passed","Tue Oct 07 10:29:50 IST 2025","Verify persisted login session for User 3 using stored storageState","","",""
"","6409","Login as User 2 and save browser session for future tests","","Tue Oct 07 10:29:34 IST 2025","passed","Tue Oct 07 10:29:40 IST 2025","","","",""
"","31204","Verify that the email displayed in the Edit Account page matches the login email for User 1 (first tab)","","Tue Oct 07 10:29:34 IST 2025","broken","Tue Oct 07 10:30:05 IST 2025","Verify persisted login session for User 1 using stored storageState","","",""
"","5243","Verify that the email displayed in the Edit Account page matches the login email for User 3 (second tab)","","Tue Oct 07 10:29:44 IST 2025","passed","Tue Oct 07 10:29:50 IST 2025","Verify persisted login session for User 3 using stored storageState","","",""
"","31798","Verify that the email displayed in the Edit Account page matches the login email for User 1 (second tab)","","Tue Oct 07 10:29:34 IST 2025","broken","Tue Oct 07 10:30:06 IST 2025","Verify persisted login session for User 1 using stored storageState","","",""
"","6528","Login as User 3 and save browser session for future tests","","Tue Oct 07 10:29:34 IST 2025","passed","Tue Oct 07 10:29:41 IST 2025","","","",""
"","10240","Verify that the email in Edit Account for User 3 matches User 2 email (expected to fail)","","Tue Oct 07 10:29:52 IST 2025","failed","Tue Oct 07 10:30:02 IST 2025","Verify persisted login session for User 3 using stored storageState","","",""
"","30772","Verify that the email displayed in the Edit Account page matches the login email for User 2 (second tab)","","Tue Oct 07 10:29:44 IST 2025","broken","Tue Oct 07 10:30:14 IST 2025","Verify persisted login session for User 2 using stored storageState","","",""
